CELLID,LAT,LON,MONTH,DAY,AEZID,PHIHOXsd2,CRFVOLsd2,SNDPPTsd2,CLYPPTsd2,SLTPPTsd2,CECsd2,NTOxd1,EACKCLsd2,DRAINFAO,BLDsd2,ORCDRCsd2,Country
4553,7.625,8.125,3,23,9,60.75620749,6.766286979,54.24879128,23.23789232,22.52052774,12.41473408,1.062372612,0.004124189,3.092354339,1230.83,10.39744325,Nigeria
4554,7.625,8.375,3,22,9,59.69446054,6.165521239,54.17322183,21.77419889,24.05448373,12.34652646,1.032828847,0.095435811,2.976981038,1270.59,11.59145483,Nigeria
4555,7.625,8.625,3,22,9,59.52803347,4.038242678,60.43322176,19.63916318,19.92527197,9.335899582,0.838616485,0.194136044,3.345606695,1301.69,9.41707113,Nigeria
4556,7.625,8.875,3,22,9,58.3874281,4.050287592,63.83714051,16.82900575,19.33229252,7.316351684,0.597168447,0.219342925,3.708216927,1312.98,8.791700904,Nigeria
4557,7.625,9.125,3,22,9,58.7926127,7.823379401,61.87997697,17.51036525,20.61377098,8.270401448,0.623419793,0.09639735,3.487249095,1263.56,11.50468904,Nigeria
4558,7.625,9.375,3,22,9,58.55011884,6.879354151,65.06581428,15.14113597,19.79042701,6.860749119,0.536082616,0.030995827,3.573723465,1274.6,9.486845341,Nigeria
4559,7.625,9.625,3,20,9,58.33019177,5.073184724,73.10227832,10.12211113,16.78036387,4.757826586,0.447564907,0.084146932,4.034830356,1343.16,5.854695951,Nigeria
4560,7.625,9.875,3,17,9,59.10245902,6.540081967,72.35418033,10.17598361,17.47040984,5.235081967,0.644013279,0.19114776,3.767868852,1313.95,5.833606557,Nigeria
4561,7.625,10.125,3,17,9,58.6202188,8.441885334,65.79690713,14.05206877,20.14625319,7.950810233,0.753939459,0.278146483,3.554166324,1254.65,8.544130953,Nigeria
4562,7.625,10.375,3,12,9,57.57459016,11.06754098,57.91467213,19.75008197,22.33803279,8.949016393,1.170236474,0.811364018,3.780819672,1211.56,14.1345082,Nigeria
4563,7.625,10.625,3,12,9,55.82053593,13.71875768,50.45865771,26.27411292,23.26927805,11.80848972,1.944882814,1.903347453,4.772351061,1212.57,24.48176678,Nigeria
4564,7.625,10.875,3,11,9,55.08584535,12.40268676,48.78063565,27.76245085,23.45257208,11.5090924,2.040640561,2.256426851,4.85042595,1225.94,26.29652687,Nigeria
