FID,LAT,LON,MONTH,DAY
509,14.375,38.125,5,22
510,14.375,38.375,5,22
511,14.375,38.625,5,22
512,14.375,38.875,5,22
513,14.375,39.125,6,10
514,14.375,39.375,6,4
515,14.375,39.625,5,31
516,14.125,-16.875,6,24
517,14.125,-16.625,6,21
518,14.125,-16.375,6,20
519,14.125,-16.125,6,20
520,14.125,-15.875,6,19
521,14.125,-15.625,6,17
522,14.125,-15.375,6,15
523,14.125,-15.125,6,14
524,14.125,-14.875,6,12
525,14.125,-14.625,6,10
526,14.125,-14.375,6,10
527,14.125,-14.125,6,8
528,14.125,-13.875,6,6
529,14.125,-13.625,6,6
530,14.125,-13.375,6,6
531,14.125,-13.125,6,5
532,14.125,-12.875,6,5
533,14.125,-12.625,6,5
534,14.125,-12.375,6,5
535,14.125,-11.875,6,5
536,14.125,-11.625,6,5
537,14.125,-11.375,6,5
538,14.125,-11.125,6,5
539,14.125,-10.875,6,4
540,14.125,-10.625,6,4
541,14.125,-10.375,6,4
542,14.125,-10.125,6,4
543,14.125,-9.875,6,4
544,14.125,-9.625,6,4
545,14.125,-9.375,6,4
546,14.125,-9.125,6,4
547,14.125,-8.875,6,7
548,14.125,-8.625,6,7
549,14.125,-8.375,6,7
550,14.125,-8.125,6,6
551,14.125,-7.875,6,9
552,14.125,-7.625,6,9
553,14.125,-7.375,6,9
554,14.125,-7.125,6,6
555,14.125,-6.875,6,1
556,14.125,-6.625,6,1
557,14.125,-6.375,6,3
558,14.125,-6.125,6,3
559,14.125,-5.875,5,31
560,14.125,-5.625,5,31
561,14.125,-5.375,5,31
562,14.125,-5.125,5,29
563,14.125,-4.875,5,29
564,14.125,-4.625,5,29
565,14.125,-4.375,6,1
566,14.125,-4.125,6,1
567,14.125,-3.875,6,1
568,14.125,-3.625,6,1
569,14.125,-3.375,6,1
570,14.125,-3.125,6,1
571,14.125,-2.875,6,1
572,14.125,-2.625,6,7
573,14.125,-2.375,6,7
574,14.125,-2.125,6,7
575,14.125,-1.875,5,29
576,14.125,-1.625,5,29
577,14.125,-1.375,5,26
578,14.125,-1.125,5,26
579,14.125,-0.875,5,26
580,14.125,-0.625,5,29
581,14.125,-0.375,5,29
582,14.125,-0.125,5,27
583,14.125,0.125,5,27
584,14.125,0.375,5,27
585,14.125,0.625,5,27
586,14.125,0.875,5,27
587,14.125,1.125,5,27
588,14.125,1.875,5,26
589,14.125,2.125,5,26
590,14.125,2.375,5,26
591,14.125,2.625,5,26
592,14.125,2.875,5,26
593,14.125,3.375,5,26
594,14.125,20.625,6,11
595,14.125,20.875,6,4
596,14.125,21.125,6,4
597,14.125,21.375,6,4
598,14.125,21.875,6,5
599,14.125,22.125,6,4
600,14.125,22.375,6,4
601,14.125,22.625,6,3
602,14.125,36.625,5,30
603,14.125,36.875,5,30
604,14.125,37.125,5,29
605,14.125,37.375,5,29
606,14.125,37.625,5,27
607,14.125,37.875,5,27
608,14.125,38.125,5,27
609,14.125,38.375,5,27
610,14.125,38.625,5,27
611,14.125,38.875,5,22
612,14.125,39.125,5,26
613,14.125,39.375,6,11
614,14.125,39.625,5,9
615,13.875,-16.375,6,18
616,13.875,-16.125,6,17
617,13.875,-15.875,6,15
618,13.875,-15.625,6,15
619,13.875,-15.375,6,11
620,13.875,-15.125,6,9
621,13.875,-14.875,6,8
622,13.875,-14.625,6,7
623,13.875,-14.375,6,6
624,13.875,-14.125,6,6
625,13.875,-13.875,6,5
626,13.875,-13.625,6,4
627,13.875,-13.375,6,4
628,13.875,-12.875,6,3
629,13.875,-12.625,6,3
630,13.875,-12.125,6,2
631,13.875,-11.875,6,2
632,13.875,-11.625,6,2
633,13.875,-11.375,6,2
634,13.875,-11.125,6,2
635,13.875,-10.875,6,2
636,13.875,-10.625,6,2
637,13.875,-10.375,6,2
638,13.875,-10.125,6,2
639,13.875,-9.875,6,2
640,13.875,-9.625,6,2
641,13.875,-9.375,6,2
642,13.875,-9.125,6,3
643,13.875,-8.875,6,4
644,13.875,-8.625,6,4
645,13.875,-8.375,6,6
646,13.875,-8.125,6,6
647,13.875,-7.875,6,6
648,13.875,-7.625,6,6
649,13.875,-7.375,6,9
650,13.875,-7.125,6,9
651,13.875,-6.875,6,6
652,13.875,-6.625,6,5
653,13.875,-6.375,6,1
654,13.875,-6.125,6,1
655,13.875,-5.875,5,31
656,13.875,-5.625,5,30
657,13.875,-5.375,5,30
658,13.875,-5.125,5,30
659,13.875,-4.875,5,30
660,13.875,-4.625,5,30
661,13.875,-4.375,5,30
662,13.875,-4.125,5,30
663,13.875,-3.875,5,29
664,13.875,-3.625,6,1
665,13.875,-3.375,6,1
666,13.875,-3.125,6,1
667,13.875,-2.875,6,1
668,13.875,-2.625,5,30
669,13.875,-2.375,5,30
670,13.875,-2.125,5,30
671,13.875,-1.875,5,27
672,13.875,-1.625,5,27
673,13.875,-1.375,5,27
674,13.875,-1.125,5,27
675,13.875,-0.875,5,27
676,13.875,-0.625,5,26
677,13.875,-0.375,5,27
678,13.875,-0.125,5,29
679,13.875,0.125,5,29
680,13.875,0.375,5,29
681,13.875,0.625,5,26
682,13.875,0.875,5,26
683,13.875,1.125,5,26
684,13.875,1.875,5,26
685,13.875,2.125,5,26
686,13.875,2.375,5,29
687,13.875,2.625,5,29
688,13.875,2.875,5,29
689,13.875,3.125,5,29
690,13.875,3.375,5,29
691,13.875,5.375,5,26
692,13.875,6.875,5,29
693,13.875,7.125,5,29
694,13.875,7.375,5,26
695,13.875,7.625,5,26
696,13.875,11.125,6,23
697,13.875,19.125,6,7
698,13.875,19.375,6,7
699,13.875,19.625,6,4
700,13.875,19.875,6,4
701,13.875,20.125,6,4
702,13.875,20.375,6,4
703,13.875,20.625,6,4
704,13.875,20.875,6,4
705,13.875,21.125,6,5
706,13.875,21.375,6,5
707,13.875,21.875,6,4
708,13.875,22.125,6,4
709,13.875,36.625,5,29
710,13.875,37.375,5,29
711,13.875,37.625,5,29
712,13.875,37.875,5,27
713,13.875,38.125,5,27
714,13.875,38.375,5,27
715,13.875,38.625,5,27
716,13.875,38.875,5,28
717,13.875,39.125,5,26
718,13.875,39.375,5,26
719,13.875,39.625,5,21
720,13.875,39.875,5,19
721,13.625,-16.375,6,15
722,13.625,-16.125,6,12
723,13.625,-15.875,6,12
724,13.625,-15.625,6,9
725,13.625,-15.375,6,8
726,13.625,-15.125,6,6
727,13.625,-14.875,6,5
728,13.625,-14.625,6,5
729,13.625,-14.375,6,3
730,13.625,-14.125,6,3
731,13.625,-13.875,6,3
732,13.625,-13.625,5,31
733,13.625,-13.375,5,31
734,13.625,-13.125,6,1
735,13.625,-12.875,6,1
736,13.625,-12.625,6,1
737,13.625,-12.125,5,29
738,13.625,-11.875,5,29
739,13.625,-11.625,5,29
740,13.625,-11.375,5,29
741,13.625,-11.125,5,29
742,13.625,-10.875,5,30
743,13.625,-10.625,5,30
744,13.625,-10.375,5,30
745,13.625,-10.125,5,30
746,13.625,-9.875,6,1
747,13.625,-9.625,6,2
748,13.625,-9.375,6,2
749,13.625,-9.125,6,2
750,13.625,-8.875,6,2
751,13.625,-8.625,6,2
752,13.625,-8.375,6,2
753,13.625,-8.125,6,2
754,13.625,-7.875,6,5
755,13.625,-7.625,6,5
756,13.625,-7.375,6,6
757,13.625,-7.125,6,6
758,13.625,-6.875,6,6
759,13.625,-6.625,6,9
760,13.625,-6.375,6,6
761,13.625,-6.125,6,6
762,13.625,-5.875,6,5
763,13.625,-5.625,5,31
764,13.625,-5.375,5,30
765,13.625,-5.125,5,31
766,13.625,-4.875,6,3
767,13.625,-4.625,6,5
768,13.625,-4.375,6,6
769,13.625,-4.125,5,31
770,13.625,-3.875,5,31
771,13.625,-3.625,5,28
772,13.625,-3.375,5,29
773,13.625,-3.125,5,30
774,13.625,-2.875,5,30
775,13.625,-2.625,5,30
776,13.625,-2.375,5,30
777,13.625,-2.125,5,27
778,13.625,-1.875,5,27
779,13.625,-1.625,5,27
780,13.625,-1.375,5,27
781,13.625,-0.375,5,27
782,13.625,-0.125,5,29
783,13.625,0.125,5,29
784,13.625,0.375,5,27
785,13.625,0.625,5,27
786,13.625,0.875,5,29
787,13.625,1.375,5,29
788,13.625,1.625,5,29
789,13.625,1.875,5,29
790,13.625,2.125,5,29
791,13.625,2.375,5,27
792,13.625,2.625,5,27
793,13.625,2.875,5,27
794,13.625,3.125,5,27
795,13.625,3.375,5,23
796,13.625,3.625,5,23
797,13.625,3.875,5,23
798,13.625,4.625,5,23
799,13.625,4.875,5,29
800,13.625,5.125,5,29
801,13.625,5.375,5,29
802,13.625,5.625,5,26
