cellid,y_pred_sim_dif_probT_cfrobust,irr_sim_probT_cfrobust,cr_sim_probT_cfrobust,crnrt_sim_probT_cfrobust,irr_sim_gtP_cfrobust,irrnrt_sim_gtP_cfrobust,y_pred_sim_dif_probT_naive,irr_sim_probT_naive,cr_sim_probT_naive,crnrt_sim_probT_naive,irr_sim_gtP_naive,irrnrt_sim_gtP_naive,lat,lon,class_nono_probT,classnrt_nono_probT,class_yesyes_probT,classnrt_yesyes_probT,class_type1_probT,classnrt_type1_probT,class_type2_probT,classnrt_type2_probT
"13262",".9953383207","-.0124081392","5.468892097","nan",".5059999824","nan","2.802713633","1.786281586","10.00969124","15.39952564","1","1","-16.375","25.375","0","0","0","0","0","0","1","1"
"13263",".9772088528","-.0480343401","5.369279385","nan",".5009999871","nan","2.802713633","1.732479334","10.00969124","15.39952564","1","1","-16.375","25.625","0","0","0","0","0","0","1","1"
"13264",".9405751228","-.114640072","5.167994976","nan",".3930000067","nan","2.802713633","1.63436389","10.00969124","15.39952564","1","1","-16.375","25.875","0","0","0","0","0","0","1","1"
"13265","1.059329271","-.0272426866","5.820489883","nan",".4690000117","nan","2.802713633","1.578834176","10.00969124","15.39952564","1","1","-16.375","26.125","0","0","0","0","0","0","1","1"
"13266","1.10926342",".0005693472","6.094853878","nan",".4950000048","nan","2.802713633","1.522687674","10.00969124","15.39952564","1","1","-16.375","26.375","0","0","0","0","0","0","1","1"
"13267",".9993480444","-.121736452","5.490923405","nan",".3639999926","nan","2.802713633","1.46641469","10.00969124","15.39952564","1","1","-16.375","26.625","0","0","0","0","0","0","1","1"
"13268","1.087368727","-.060425207","5.974553585","nan",".4289999902","nan","2.802713633","1.411184788","10.00969124","15.39952564","1","1","-16.375","26.875","0","0","0","0","0","0","1","1"
"13269","1.028592825","-.1333417743","5.651608467","nan",".40200001","nan","2.802713633","1.358711362","10.00969124","15.39952564","1","1","-16.375","27.125","0","0","0","0","0","0","1","1"
"1327",".7064784765",".7001347542","3.881750107","nan",".851000011","nan","1.766548634","3.253195286","6.309102058","9.706311226","1","1","12.625","21.125","0","0","1","1","0","0","0","0"
"13270",".9657056332","-.2043062747","5.306075096","nan",".3370000124","nan","2.802713633","1.309309602","10.00969124","15.39952564","1","1","-16.375","27.375","0","0","0","0","0","0","1","1"
"13271","1.048752904","-.153760761","5.762378693","nan",".3639999926","nan","2.802713633","1.261576891","10.00969124","15.39952564","1","1","-16.375","27.625","0","0","0","0","0","0","1","1"
"13272","1.168900609","-.0738342851","6.422531128","nan",".4519999921","nan","2.802713633","1.214139938","10.00969124","15.39952564","1","1","-16.375","27.875","0","0","0","0","0","0","1","1"
"13273","1.026614189","-.2079412192","5.640737534","nan",".2919999957","nan","2.802713633","1.166126132","10.00969124","15.39952564","1","1","-16.375","28.125","0","0","0","0","0","0","1","1"
"13274",".8731299639","-.3381593823","4.797417164","nan",".172999993","nan","2.802713633","1.117248297","10.00969124","15.39952564","1","1","-16.375","28.375","0","0","0","0","0","0","1","1"
"13275",".6079652309","-.488558948","3.340468407","nan",".0829999968","nan","2.802713633","1.335370183","10.00969124","15.39952564","1","1","-16.375","28.625","0","0","0","0","0","0","1","1"
"13276",".682061553","-.4452770352","3.747591019","nan",".1819999963","nan","-.0769691467","-1.062510252","-.274889797","-.4229074121","0","0","-16.375","28.875","1","1","0","0","0","0","0","0"
"13277","1.215578794","-.040078871","6.679003716","nan",".4609999955","nan","-.0769691467","-1.060871243","-.274889797","-.4229074121","0","0","-16.375","29.125","1","1","0","0","0","0","0","0"
"13278","1.265995979","-.0286648907","6.956022263","nan",".4099999964","nan","-.0769691467","-1.059225917","-.274889797","-.4229074121","0","0","-16.375","29.375","1","1","0","0","0","0","0","0"
"13279",".9854148626","-.2679694891","5.414367676","nan",".2590000033","nan","-.0769691467","-1.057582498","-.274889797","-.4229074121","0","0","-16.375","29.625","1","1","0","0","0","0","0","0"
"1328",".6252530813",".4884299636","3.435456753","nan",".7730000019","nan","1.766548634","3.207608223","6.309102058","9.706311226","1","1","12.625","21.375","0","0","1","1","0","0","0","0"
"13280","1.272521615","-.0723216683","6.991877079","nan",".3079999983","nan","-.0769691467","-1.055949688","-.274889797","-.4229074121","0","0","-16.375","29.875","1","1","0","0","0","0","0","0"
"13281",".8153861761","-.4236110449","4.480144024","nan",".1439999938","nan","-.0769691467","-1.054335713","-.274889797","-.4229074121","0","0","-16.375","30.125","1","1","0","0","0","0","0","0"
"13282",".863512516","-.4086832106","4.744574547","nan",".1040000021","nan","-.0769691467","-1.05274868","-.274889797","-.4229074121","0","0","-16.375","30.375","1","1","0","0","0","0","0","0"
"13283",".8619759083","-.4260601401","4.736131191","nan",".0900000036","nan","-.0769691467","-1.051196456","-.274889797","-.4229074121","0","0","-16.375","30.625","1","1","0","0","0","0","0","0"
"13284",".806376338","-.4824177027","4.430639267","nan",".0439999998","nan","-.0769691467","-1.049686909","-.274889797","-.4229074121","0","0","-16.375","30.875","1","1","0","0","0","0","0","0"
"13285",".7214917541","-.5503877401","3.964240551","nan",".0080000004","nan","-.0769691467","-1.048227429","-.274889797","-.4229074121","0","0","-16.375","31.125","1","1","0","0","0","0","0","0"
