cellid,y_pred_sim_dif_probT_naive,vcr_sim_probT_naive,cr_sim_probT_naive,vcr_sim_gtP_naive,y_pred_sim_dif_probT_robust,vcr_sim_probT_robust,cr_sim_probT_robust,vcr_sim_gtP_robust,lat,lon,class_nono_probT,class_yesyes_probT,class_type1_probT,class_type2_probT
"4796",".9677560329","nan","7.444277287","nan",".5206480026","nan","4.004984856","nan","7.125","-6.625","0","0","0","0"
"4797",".9677560329","nan","7.444277287","nan",".6432266235","nan","4.947896957","nan","7.125","-6.375","0","0","0","0"
"4798",".9677560329","nan","7.444277287","nan",".6554563046","nan","5.041971207","nan","7.125","-6.125","0","0","0","0"
"4799",".9677560329","nan","7.444277287","nan",".6564511061","nan","5.049623966","nan","7.125","-5.875","0","0","0","0"
"48","1.500258923","nan","11.54045296","nan",".1551705599","nan","1.193619728","nan","15.875","-16.125","0","0","0","0"
"4800",".9677560329","nan","7.444277287","nan",".3994127512","nan","3.072405815","nan","7.125","-5.625","0","0","0","0"
"4801",".7955236435","nan","6.119412422","nan",".2871617079","nan","2.208936214","nan","7.125","-5.375","0","0","0","0"
"4802",".7955236435","nan","6.119412422","nan",".2776392698","nan","2.135686636","nan","7.125","-5.125","0","0","0","0"
"4803",".7955236435","nan","6.119412422","nan",".3119777441","nan","2.399828911","nan","7.125","-4.875","0","0","0","0"
"4804",".7955236435","nan","6.119412422","nan",".2986645699","nan","2.297419548","nan","7.125","-4.625","0","0","0","0"
"4808",".7955236435","nan","6.119412422","nan",".8532626629","nan","6.563558578","nan","7.125","-3.625","0","0","0","0"
"4809",".7955236435","nan","6.119412422","nan",".7911592722","nan","6.085840225","nan","7.125","-3.375","0","0","0","0"
"4810",".9677560329","nan","7.444277287","nan",".6441760063","nan","4.955200195","nan","7.125","-3.125","0","0","0","0"
"4811",".9677560329","nan","7.444277287","nan",".7322764397","nan","5.63289547","nan","7.125","-2.875","0","0","0","0"
"4812",".9677560329","nan","7.444277287","nan",".7879716158","nan","6.061320305","nan","7.125","-2.625","0","0","0","0"
"4814",".9677560329","nan","7.444277287","nan",".9323952198","nan","7.172270775","nan","7.125","-2.125","0","0","0","0"
"4815",".9677560329","6.293679237","7.444277287","1",".8193372488","5.327840805","6.302594185",".978333354","7.125","-1.875","0","1","0","0"
