cellid,MostSensitive
3028,soilph
3029,soilph
3030,soilph
3031,soilph
3032,soilph
3033,soilph
3034,up
3035,soilph
3036,soilph
3037,soilph
3038,soilph
3039,soilph
3040,soilph
3041,soilph
3042,soilph
3043,soilph
3044,soilph
3045,soilph
3046,soilph
3047,soilph
3048,soilph
3049,up
3050,up
3051,up
3052,up
3053,claypct
3054,soilph
3055,soilph
3056,soilph
3057,soilph
3058,soilph
3059,soilph
3060,soilph
3061,soilph
3062,soilph
3063,soilph
3064,soilph
3065,soilph
3066,soilph
3067,soilph
3068,bulkdens
3069,bulkdens
3070,soilph
3071,soilph
3072,up
3073,claypct
3074,up
3075,bulkdens
3076,up
3077,soilph
3078,soilph
3079,claypct
3080,up
3081,up
3082,claypct
3083,claypct
3084,soilph
3085,soilcec
3086,up
3087,bulkdens
3088,up
3089,up
3090,up
3091,up
3092,soilcec
3093,soilcec
3094,up
3095,soilph
3096,soilcec
3097,soilph
3098,soilph
3099,soilph
3100,temp_p2
3101,temp_p2
3102,up
3103,claypct
3104,up
3105,up
3149,soilph
3150,soilph
3151,soilph
3152,soilph
3153,soilph
3154,soilph
3155,soilph
3156,soilph
3157,soilph
3158,soilph
3159,soilph
3160,soilph
3161,soilph
3162,soilph
3163,soilph
3164,soilph
3165,soilph
3166,soilph
3167,soilph
3168,soilph
3169,soilph
3170,soilph
3171,soilph
3172,soilph
3173,soilph
3174,soilph
3175,soilph
3176,soilph
3177,soilph
3178,soilph
3179,soilph
3180,soilph
3181,soilph
3182,soilph
3183,up
3184,soilph
3185,temp_p1
3186,temp_p1
3187,temp_p1
3188,up
3189,bulkdens
3190,up
3191,soilph
3192,soilph
3193,soilph
3194,soilph
3195,soilph
3196,soilph
3197,soilph
3198,soilph
3199,soilph
3200,soilph
3201,soilph
3202,soilph
3203,soilph
3204,soilph
3205,soilph
3206,soilph
3207,soilph
3208,soilph
3209,soilph
3210,soilph
3211,soilph
3212,soilph
3213,soilph
3214,soilph
3215,soilph
3216,soilph
3217,soilph
3218,soilph
3219,claypct
3220,soilph
3221,claypct
3222,soilph
3223,soilph
3224,soilph
3225,soilph
3226,soilph
3227,soilph
3228,soilph
3229,soilph
3230,soilph
3231,soilph
3232,soilph
3233,soilph
3234,soilph
3235,soilph
3236,soilph
3237,soilph
3238,soilph
3239,soilph
3240,soilph
3241,soilph
3242,claypct
3243,claypct
3244,up
3245,claypct
3246,claypct
3247,claypct
3248,claypct
3249,soilcec
3250,claypct
3251,claypct
3252,up
3253,up
3254,claypct
3255,claypct
3256,soilph
3257,soilph
3258,up
3259,soilph
3260,soilcec
3261,up
3262,up
3263,up
3264,up
3265,soilph
3266,up
3267,up
3268,soilph
3269,soilph
3270,soilcec
3271,soilph
3272,soilph
3273,temp_p2
3274,temp_p2
3275,temp_p2
3276,soilph
3277,soilph
3278,soilph
3321,soilph
3322,soilph
3323,soilph
3324,soilph
3325,soilph
3326,soilph
3327,soilph
3328,soilph
3329,soilph
3330,soilph
3331,soilph
3332,soilph
3333,soilph
3334,soilph
3335,soilph
3336,soilph
3337,soilph
3338,soilph
3339,soilph
3340,soilph
3341,soilph
3342,soilph
3343,soilph
3344,soilph
3345,soilph
3346,soilph
3347,soilph
3348,soilph
3349,soilph
3350,soilph
3351,up
3352,soilph
3353,soilph
3354,up
3355,soilph
3356,soilph
3357,temp_p1
3358,temp_p1
3359,soilph
3360,soilph
3361,up
3362,soilph
3363,soilph
3364,soilph
3365,soilph
3366,soilph
3367,up
3368,soilph
3369,soilph
3370,soilph
3371,soilph
3372,soilph
3373,soilph
3374,soilph
3375,soilph
3376,soilph
3377,soilph
3378,soilph
3379,soilph
3380,soilph
3381,soilph
3382,soilph
3383,soilph
3384,soilph
3385,soilph
3386,soilph
3387,soilph
3388,soilph
3389,soilph
3390,soilph
